default,,rr,,lru,,faint,
Thread#,IPC,Fairness,Average Utilization,Single Thread Average IPC,Thread#,IPC,Fairness,Average Utilization,Single Thread Average IPC,Thread#,IPC,Fairness,Average Utilization,Single Thread Average IPC,Thread#,IPC,Fairness,Average Utilization,Single Thread Average IPC
7,1.3838104647914922,0.9794966224632301,46.01290909090908,0.16127138016982767,7,1.5585313174946005,0.9003465980619247,38.74754545454545,0.11587363904328206,7,1.3836662553773302,0.978999015293392,45.912454545454544,0.16092617962829672,7,1.414449770959838,0.9583113711359275,45.770272727272726,0.15360478934615238
14,1.2584177653091206,0.9223189447589074,28.36981818181818,0.047341981942538754,14,0.8431726678097415,0.9938224464947504,27.96581818181818,0.05043773284252736,14,1.2503710400421892,0.9236200900362304,28.354818181818185,0.04739389421153402,14,1.1423006309674777,0.9528840755493728,28.062727272727276,0.04846443435693964
21,1.4325864033421951,0.7429971549433386,22.90481818181818,0.02208048217407801,21,0.868992455062857,0.9889454639576992,25.93163636363636,0.031087388735764478,21,1.4322835087355934,0.7240857444696274,22.476545454545455,0.021262053383270738,21,1.308502041315114,0.8397453171961212,24.08772727272727,0.025657622126695572
28,1.5127348295737435,0.6152464597308374,20.31627272727273,0.012739523295569833,28,0.9919663622705168,0.9636199391742054,25.406454545454547,0.02208186530290527,28,1.571582953086069,0.5906637255270513,19.755545454545455,0.011994431746008914,28,1.4599609868952035,0.7174142400880328,21.490000000000002,0.01527297359186481
